tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931860313011494912,keithmfitz,1994,2017-11-18 12:23:06,RT @ReutersWorld: The latest #Brexit news and analysis in one handy document. Catch up with our Brexit newsletter https://t.co/ZcmP4qm8qy…,Twitter for Android,0,11,Boston - Singapore - Bangkok
931860312088866816,bdnews24,217807,2017-11-18 12:23:06,AFP: RT EUDataNewsHub: European cities involved in fierce competition to win right to host the EMA and EBA after… https://t.co/8nkTtU1S0y,IFTTT,1,0,"London, England"
931860299464019969,IChewPorridge,274,2017-11-18 12:23:03,"RT @WhyToVoteGreen: Please retweet if you are angry that our country is pursuing a disastrous   #Brexit, sold on lies &amp; promoted by people…",Twitter for iPhone,0,265,Take a U-turn when possible
931860298595782656,AshBarratt1984,933,2017-11-18 12:23:02,"RT @markantro: Nearly £600 for every man, woman and child in the UK.

My Christmas wish is to see @theresa_may resign

#Brexit 🇬🇧 https://t…",Twitter for Android,0,124,
931860290966343680,JackWDart,114,2017-11-18 12:23:01,"@BenPBradshaw Why won’t @UKLabour discuss any #Brexit related issues during PMQ’s, why is there never any talk of a… https://t.co/m60TapB6iu",Twitter for iPhone,0,0,"London, England"
931860282774827009,Conscious_Bob,160,2017-11-18 12:22:59,@lewis_goodall @richclements @BBCr4today The now widely discredited extra £350m #brexit argument was on the back of… https://t.co/fPKvxjESoh,Twitter for Android,1,0,
931860279700443138,cuckoo57,209,2017-11-18 12:22:58,RT @AngusRobertson: Taoiseach Leo Varadkar vows to block trade talks if Theresa May fails to explain border plans by next month #Brexit 🇨🇮…,Twitter for iPhone,0,443,
931860271005687808,Lesleypplzone,408,2017-11-18 12:22:56,RT @jon_bartley: In case you missed it these are the crucial environmental protections that the Government voted down last night #Brexit ht…,Twitter for Android,0,383,Barbados and UK
931860211232595968,Treezon_May,63,2017-11-18 12:22:42,RT @ThomasEvansGB: Ain't it the truth! #Brexit https://t.co/e5sg6UDAn8,Twitter Web Client,0,30,
931860211148529665,joymwhyte,196,2017-11-18 12:22:42,"@RachelCrasnowQC EU principles provide a legal framework for ensuring pay equality, and non-discrimination. #brexit… https://t.co/BJBlqq8qy2",Twitter for iPhone,0,1,London
931860171386695682,peterfreelancer,416,2017-11-18 12:22:32,"RT @glynmoody: this is the true voice of loutish, bigoted, stupid #brexit britain: ""Irish prime minister should shut his gob""... https://t.…",Twitter for iPhone,0,1,Portugal and London
931860154865389568,owltan74,248,2017-11-18 12:22:28,"RT @smartnotstupid: If @Nigel_Farage doesn’t get a Knighthood for #brexit he should get it for this!

The jar of worms are now open, so mak…",Twitter for iPad,0,175,United Kingdom
931860147420450816,marcialmarciano,1060,2017-11-18 12:22:26,RT @docrussjackson: 61% of leave voters agree “significant damage to the British economy” is worth it for #Brexit. Asked would it be worth…,Twitter for iPhone,0,34,Chile
931860125060620288,ani2tall,1250,2017-11-18 12:22:21,Rachel Crasnow QC on #AssociativeDiscrimination and #rights protection post #Brexit #carers #EqualPay #ParentalLeave,Twitter for Android,0,0,"London, UK"
