tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
934570276854964224,patflannery,False,801,2017-11-25 23:51:32,"First of many direct links between Ireland and Europe, post-Brexit. Next will be a ""Ryanair of the Sea"" a new compa… https://t.co/Tpr9Cy9UEs",,,Twitter Web Client,True,False,2,0,The World
934570274447556608,shirleymcbrinn,False,2078,2017-11-25 23:51:31,"RT @Ian_Fraser: If you're wondering about the Legatum Institute (the bizarrely influential pro-hard Brexit ""thinktank"" that's the subject o…",,,Twitter for iPad,True,False,0,32,Kinross
934570263689224192,hopbin,False,2561,2017-11-25 23:51:28,"RT @UKIPNFKN: Top story: Theresa May is too frightened of the Brexiteers to act in the nation… https://t.co/VYoW1eGCrG, see more https://t.…",,,Twitter for Android,False,False,0,23,"South West England, EU"
934570262619742208,lesleyanneheap,False,145,2017-11-25 23:51:28,"RT @BrexitBin: If Labour reverses its position on Brexit, Corbyn must go.
He was the 1st to call for the triggering of A50.
He supported an…",,,Twitter for iPad,False,False,0,349,
934570255019659264,IamSWaGodKing,False,6964,2017-11-25 23:51:26,@StrongerStabler EU stand was no deal until money was paid. They said they'll never allow us to become ECOC and dis… https://t.co/tWtLHjD9kX,StrongerStabler,934420156880773120,Twitter Web Client,False,False,0,0,UK. London
934570253606162432,jpeeps13,False,203,2017-11-25 23:51:26,"RT @LouiseMensch: Yep, my exclusive report is that UKIC believe #Brexit referendum will need to be redone. Everything coming out in UK pres…",,,Twitter for iPhone,True,False,0,121,"Hoboken, NJ"
934570251173355521,SpeakeasyJames,False,3625,2017-11-25 23:51:26,RT @V_of_Europe: EU to cross 'red line' by imposing new rules on UK during transition https://t.co/CE65MLQdwS,,,Twitter for Android,False,False,0,100,"GTA, Ontario, Canada"
934570250863071232,Debbelina_,False,40854,2017-11-25 23:51:25,RT @ThatTimWalker: The stench from Legatum is becoming over-powering  https://t.co/KsV5JLwdlq,,,Twitter for iPad,False,False,0,644,"The Moon, third rock from left"
934570245943123970,Alba40,False,360,2017-11-25 23:51:24,RT @garyashley5: @JeanneBartram Very true a right wing gutter press dumbing down in education since 1979 and as you say if youngsters could…,,,Twitter for Android,False,False,0,4,spain 
934570245167173633,Jayoberoi2,False,504,2017-11-25 23:51:24,RT @ThatTimWalker: The stench from Legatum is becoming over-powering  https://t.co/KsV5JLwdlq,,,Twitter for iPhone,False,False,0,644,"Winscombe, England"
934570244588359680,marciaj64,False,2198,2017-11-25 23:51:24,RT @hendopolis: MAIL ON SUNDAY: Putin link to Boris and Gove Brexit ‘Coup’ #tomorrowspaperstoday https://t.co/k2NQ61oaay,,,Twitter for Windows,False,False,0,522,Taunton Somerset 
934570241052602369,Euqinomist,False,750,2017-11-25 23:51:23,"RT @alexpiletska: This 1990 book may as well have been written in Brexit Britain. Spoiler alert, it did not work out for Britain the first…",,,Twitter for Android,False,False,0,4,Pale Blue Dot
934570239471374336,vjl2,False,1012,2017-11-25 23:51:23,"RT @JeanneBartram: UK airlines risk losing flying rights, says leaked Brexit paper https://t.co/ynK9ptvnvm via @FT",,,Twitter Web Client,False,False,0,69,England
934570239169351680,JohnGrumble,False,205,2017-11-25 23:51:23,"RT @TheNewEuropean: With the Sunday papers reporting a possible link between Gove, Boris, and Russia here's more on the Brexit and Kremlin…",,,Twitter for iPad,False,False,0,332,United Kingdom
934570222593413121,Bushwooder,False,191,2017-11-25 23:51:19,RT @smilinglaura: I think we should tweet @DavidDavisMP EVERY DAY asking about the 58 Brexit impact studies to be released until he respond…,,,Twitter for iPhone,True,False,0,247,"London, UK/La Haie, France"
934570210216022017,ljonesljones14,False,444,2017-11-25 23:51:16,Theresa May warned British public will 'go bananas' if she offers EU £40bn to settle Brexit divorce bill… https://t.co/gxeDZvNvIh,,,Twitter Web Client,False,False,2,1,United Kingdom
934570208303382528,weemokerr,False,1353,2017-11-25 23:51:15,RT @acgrayling: You know how to help our country. Stop Brexit. So far all you’ve done is help the Tories. https://t.co/J66yUniTiE,,,Twitter for iPad,True,False,0,382,"Glasgow, Scotland"
