,tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
246,934571497385021441,Gordy_Mc1ntosh,False,772,2017-11-25 23:56:23,RT @StopBrexitMarch: We welcome everyone who regrets voting leave! Time to work together to get UK Gov &amp; MPs to act in the best interests o…,,,Twitter for Android,False,False,0,36,
255,934571470562516998,OldBlokeUK,False,261,2017-11-25 23:56:16,RT @TheNewEuropean: Which reminds us... where are those Brexit impact papers?  https://t.co/GOFZ1vgufD,,,Twitter for Android,False,False,0,184,Lancashire
256,934571469148950528,ljonesljones14,False,444,2017-11-25 23:56:16,Senior Tories back pro-Brexit campaign group's plans to end low-skilled migration https://t.co/8amTd7j7LW via @telegraphnews,,,Twitter Web Client,False,False,0,0,United Kingdom
259,934571462333272064,bobbysmiff,False,1573,2017-11-25 23:56:14,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter Web Client,False,False,0,541,"West London , England"
280,934571395329220608,Londonkiltmake1,False,634,2017-11-25 23:55:58,"RT @pledgeforeurope: The people we need to get campaigning alongside us, telling their story #BrexitCanBeBeaten https://t.co/0ErkMUMyo8",,,Twitter for iPhone,False,False,0,2,
285,934571363943288833,hknormington,False,145,2017-11-25 23:55:51,"RT @MaryCreaghMP: The economic cost of Brexit in GDP - £72 bn in lost jobs, taxes and spending by 2021. Business Insider https://t.co/vFLov…",,,Twitter for Android,False,False,0,81,
318,934571268229263360,bobbysmiff,False,1573,2017-11-25 23:55:28,RT @TheNewEuropean: Which reminds us... where are those Brexit impact papers?  https://t.co/GOFZ1vgufD,,,Twitter Web Client,False,False,0,184,"West London , England"
320,934571265792278528,iCreateOFX,False,79,2017-11-25 23:55:27,“Did Russian bots impact Brexit?” by @OctSkyward https://t.co/7iB4STePoH,,,Twitter Web Client,False,False,0,0,"London, England"
321,934571264164982786,Rusty_Rascal,False,320,2017-11-25 23:55:27,"RT @MaryCreaghMP: The economic cost of Brexit in GDP - £72 bn in lost jobs, taxes and spending by 2021. Business Insider https://t.co/vFLov…",,,Twitter for iPhone,False,False,0,81,Salisbury United Kingdom
324,934571258871611392,Ashley_Hoyland,False,94,2017-11-25 23:55:26,RT @Samfr: I wonder if there's a reason why it's so hard to find people who really understand how Govt works and also back Brexit? https://…,,,Twitter for Android,True,False,0,364,North of England
326,934571251254906880,heffyp,False,211,2017-11-25 23:55:24,"RT @RedHotSquirrel: The stench of betrayal...  Leaked papers reveal transitional deal conditional on accepting new EU rules.

https://t.co/…",,,Twitter for iPad,False,False,0,395,London
333,934571241368965120,FeelingAntsy,False,130,2017-11-25 23:55:22,"https://t.co/o3g9Qmwfse. 
""The leave vote has been completely hijacked by the extreme right"" Leave voter.",,,Twitter for iPad,False,False,1,0,
339,934571219549954048,t_phuck,False,663,2017-11-25 23:55:16,RT @LouiseBagshawe: EXCLUSIVE: UK 🇬🇧 intelligence sources say #Brexit referendum so flooded with Russian money and bots as not to be “free…,,,Twitter for Android,False,False,0,241,XJP
341,934571212927356928,iamLeeBrenton,False,784,2017-11-25 23:55:15,@ElectoralCommUK Who gave the DUP the money for the Metro Brexit adverts?,ElectoralCommUK,9.337382332125676e+17,Twitter for iPhone,False,False,0,0,Berlin
344,934571204962381824,westonion10,False,554,2017-11-25 23:55:13,The delusions of you leave morons has no bounds. If the @UKLabour party does not actively oppose Brexit by 2018 I w… https://t.co/dTZv7m6HNS,,,Twitter for Android,True,False,0,0,"Weston-super-Mare, England"
352,934571186641690624,RCgothic,False,275,2017-11-25 23:55:09,RT @TheNewEuropean: Which reminds us... where are those Brexit impact papers?  https://t.co/GOFZ1vgufD,,,Twitter for Android,False,False,0,184,UK
357,934571175400951808,mikeonthemarne,False,626,2017-11-25 23:55:06,RT @smilinglaura: I think we should tweet @DavidDavisMP EVERY DAY asking about the 58 Brexit impact studies to be released until he respond…,,,Twitter for Android,True,False,0,247,France
372,934571112859688960,preshn9,False,260,2017-11-25 23:54:51,RT @DavidLammy: Just a reminder that this was 17 days ago. 3 week deadline for publication of Brexit impact studies is next Tuesday. https:…,,,Twitter for Android,False,False,0,1079,
377,934571096166330368,jonclea,False,292,2017-11-25 23:54:47,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter Web Client,False,False,0,541,
382,934571084246147072,WhitesidePaula,False,841,2017-11-25 23:54:44,RT @ClareGerada: Please. Leaders. @Number10gov @jeremycorbyn Accept #Brexit is a disaster &amp; work to stop it. History will judge you as bein…,,,Twitter for iPhone,False,False,0,55,
386,934571063601659905,Kilsally,False,5329,2017-11-25 23:54:39,@nickhanna2 @frank_selby @AllyLamont1984 @Independent Our people changed their minds like the UUP who campaigned fo… https://t.co/shPhs35xU8,nickhanna2,9.345671921752351e+17,Twitter for Android,False,False,0,0,"Co Tyrone, N Ireland, UK"
404,934570988355846146,NatalieHarris,False,1295,2017-11-25 23:54:21,RT @petertimmins3: Why aren't the Press and opposition parties making one holy row about the missing #Brexit impact assessment papers? Who…,,,Twitter for iPhone,False,False,0,506,"Leeds, UK"
417,934570940675035137,JulsJulsblues,False,2371,2017-11-25 23:54:10,"RT @withorpe: These people view Brexit as a means to increase company profits by weakening employment, environmental, food and health and s…",,,Twitter for Android,False,False,0,510,UK
