,tweet_id,username,verified,followers,created_at,tweet_text,reply_to_user,reply_to_tweet,platform,quoted,retweeted,likes,retweets,user_location
972,934569323519242240,inmarshall100,False,2,2017-11-25 23:47:44,@BBCNews Why do you have people giving opinions stating information regarding Brexit Russia without any tangible Fa… https://t.co/DlikdTS3Cj,BBCNews,,Twitter Web Client,False,False,0,0,europe
977,934569298907066368,JohnWebbWindsor,False,363,2017-11-25 23:47:38,"RT @hendonmaddog: @mitchmusic @DVATW @MaggieMac42 @GOVUK Further proof, if needed. The British people should NOT trust @GOVUK ! - We were l…",,,Twitter for Android,False,False,0,12,"Windsor, South East"
994,934569254963335168,zimbasplace,False,787,2017-11-25 23:47:28,RT @BarryGardiner: Actually I think I just pointed out that the cost of a no deal Brexit would add £260 to household bills and lose £50bill…,,,Twitter for iPad,True,False,0,209,
1028,934569151888265217,SirGeoffJohnson,False,455,2017-11-25 23:47:03,Petition: Parliament's vote on the Brexit deal must include an option to remain in the EU. https://t.co/CnepgtfNsa,,,Twitter for Android,False,False,0,0,"Leeds, UK"
1041,934569105251819520,PlumptonGary,False,413,2017-11-25 23:46:52,"RT @MePeebs: Petition: Parliament's vote on the Brexit deal must include an option to remain in the EU. https://t.co/w7uEdLUkSD
#StopBrexit…",,,Twitter for iPhone,False,False,0,10,
1050,934569092060721152,back_fights,False,1112,2017-11-25 23:46:49,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for Android,False,False,0,541,
1059,934569074692120576,MePeebs,False,1098,2017-11-25 23:46:45,Petition: Parliament's vote on the Brexit deal must include an option to remain in the EU. https://t.co/w7uEdLUkSD… https://t.co/q2DoPcN8mh,,,Twitter for Android,False,False,5,10,"Liverpool, England"
1061,934569071676358658,leeburgess1,False,296,2017-11-25 23:46:44,RT @_Chris_Mendes: I manned my own street stall for 8 months handing out leaflets and explaining the merits of #Brexit to as many people as…,,,Twitter for iPhone,True,False,0,14,sittingbourne
1064,934569060121174016,labour_zone,False,3878,2017-11-25 23:46:42,RT @annaturley: These are the people driving Brexit. How is this ‘taking back control’? Putin's link to Boris and Gove's Brexit 'coup' reve…,,,Labour RSS Feed,False,False,0,12,
1065,934569058393116673,annaturley,True,15756,2017-11-25 23:46:41,These are the people driving Brexit. How is this ‘taking back control’? Putin's link to Boris and Gove's Brexit 'co… https://t.co/HW6vcqm9VT,,,Twitter Web Client,False,False,6,12,"Redcar/Westminster, England"
1120,934568900129255424,Brexit4U,False,381,2017-11-25 23:46:03,#Brexit EU chief says Brexit deal 'possible but huge challenge' https://t.co/9IkibZXNvv #VoteLeave,,,dlvr.it,False,False,0,0,United Kingdom
1129,934568879711547392,RMacRay2,False,146,2017-11-25 23:45:59,"RT @NeilMackay: Kezia in the jungle, Ruth on the Bake Off ... What's that Nicola Sturgeon doing? Oh - just saving 1400 jobs at BiFab, tryin…",,,Twitter for Android,False,False,0,1122,
1136,934568846165401600,GypsySpirit46,False,2711,2017-11-25 23:45:51,"RT @thesymbolic: Arlene Foster doesn’t speak for Northern Ireland. She isn’t the first Minister. The people themselves have spoken, and sai…",,,Twitter Web Client,False,False,0,558,"Toronto, ON Canada 🍁"
1150,934568818223058944,GillardPeter,False,901,2017-11-25 23:45:44,RT @DavidLammy: Just a reminder that this was 17 days ago. 3 week deadline for publication of Brexit impact studies is next Tuesday. https:…,,,Twitter for Android,False,False,0,1079,
1155,934568802356006913,SachiKnight,False,2592,2017-11-25 23:45:40,RT @JolyonMaugham: What we do know is that they want to keep it a secret. And so they gave the money to some shady pro Brexit group called…,,,Twitter Web Client,False,False,0,94,"Shropshire, UK"
1162,934568787671732227,johnspicer3,False,351,2017-11-25 23:45:37,RT @ClareGerada: Please. Leaders. @Number10gov @jeremycorbyn Accept #Brexit is a disaster &amp; work to stop it. History will judge you as bein…,,,Twitter for iPad,False,False,0,55,
1209,934568683925581824,Bubbly_Batters,False,222,2017-11-25 23:45:12,‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/W01DYLT2aF,,,Twitter Web Client,False,False,0,0,
1226,934568642070671361,LondonSwenglish,False,2134,2017-11-25 23:45:02,‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/Dl0SUUmSEB,,,Twitter for iPhone,False,False,0,0,London
1228,934568634579636224,blacklinesw9,False,343,2017-11-25 23:45:00,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for iPad,False,False,0,541,Torquay and Brixton (London)
1231,934568625926795266,HopeBeatsHate,False,227,2017-11-25 23:44:58,"@Clutter2 @londonmandy1 It won't much impact Brexit voters.

Go to Pontefract 20% unemployment and huge Brexit supp… https://t.co/2BlxTuRR0X",Clutter2,9.344951172636795e+17,Twitter Lite,False,False,0,0,
1233,934568621958934528,Rupertevans6,False,45,2017-11-25 23:44:57,RT @Samfr: The best Brexit scenario now is that we spend phenomenal amounts of energy and money to get to slightly worse arrangements than…,,,Twitter for Android,False,False,0,375,
1258,934568559644200960,FibonacciNature,False,11503,2017-11-25 23:44:42,RT @BrexitFutureUK: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/6Ol3ui40FF,,,Twitter for Android,False,False,0,16,Europe
1261,934568552140562433,JaneDesmarais,False,196,2017-11-25 23:44:40,"RT @DPhinnemore: ""By embracing a special Brexit deal for Northern Ireland, retaining the best aspects of EU membership and UK membership, t…",,,Twitter for iPhone,False,False,0,18,United Kingdom
1263,934568542518816771,Debbelina_,False,40854,2017-11-25 23:44:38,RT @DavidLammy: Just a reminder that this was 17 days ago. 3 week deadline for publication of Brexit impact studies is next Tuesday. https:…,,,Twitter for iPad,False,False,0,1079,"The Moon, third rock from left"
1275,934568510512037888,newsofemiratess,False,103,2017-11-25 23:44:31,May urges EU to ‘step forward’ with UK for Brexit deal https://t.co/LBcS4zinY4,,,WordPress.com,False,False,0,0,United Arab Emirates
1277,934568506699509763,ph210147,False,228,2017-11-25 23:44:30,RT @Undercover_mole: The Brexit fantasists lie that just won't go away. Democracy based on lies is electoral fraud.  We the people DEMAND a…,,,Twitter for iPhone,False,False,0,102,
1280,934568493093179394,ShyRobin1,False,758,2017-11-25 23:44:26,Arlene Foster says the people of NI don't want to be in Customs Union. When was this referendum? She never asked me… https://t.co/sXtnK2tOn0,,,Twitter Web Client,False,False,1,0,
1288,934568460075589633,turks22,False,2798,2017-11-25 23:44:18,RT @JolyonMaugham: What we do know is that they want to keep it a secret. And so they gave the money to some shady pro Brexit group called…,,,Twitter for iPad,False,False,0,94,Lake District
1312,934568386532700161,StopBrexitBen,False,585,2017-11-25 23:44:01,"RT @AgentAvalon: @carolecadwalla So we have leave EU &amp; vote leave under investigation, apparent Russian interference in the Brexit campaign…",,,Twitter for iPhone,False,False,0,18,United Kingdom
1324,934568363874910209,jmescoda,False,4946,2017-11-25 23:43:56,BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules - https://t.co/4wONwgNSYj,,,Post with Klout,False,False,0,0,Sóc a la Milky Way
1328,934568358674161670,McDowellBt,False,645,2017-11-25 23:43:54,RT @mk4all123: @DonovanTim @BenPBradshaw @jeremycorbyn @UKLabour Not sure about that. I still see a lot of people who still support #Brexit…,,,Twitter for iPad,False,False,0,1,England
1339,934568312381591552,_itslucyk,False,277,2017-11-25 23:43:43,I really wish people would stop saying hard brexit or soft brexit it's a political term not a boiled egg,,,Twitter for iPhone,False,False,13,2,Newcastle/Sheffield
1348,934568277749174272,bobbysmiff,False,1573,2017-11-25 23:43:35,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter Web Client,False,False,0,709,"West London , England"
1365,934568225387569152,Chantepoule,False,2059,2017-11-25 23:43:23,The Irish Government is vying to win further finance jobs as London-based operations seek a foothold in EU after Br… https://t.co/q2xBty0d1O,,,Twitter Web Client,False,False,0,0,Perigueux
1367,934568222069854208,Jayoberoi2,False,504,2017-11-25 23:43:22,RT @Daniel_Cousins: A jobs first Brexit is no Brexit at all. There is little alternative. https://t.co/i56Ur6ADkg,,,Twitter for iPhone,True,False,0,1,"Winscombe, England"
1377,934568204537597954,BradleyGJ,False,1332,2017-11-25 23:43:18,"Facts for the people as attached here, not letters unrepresentative of the people.

Northern Ireland is against BRE… https://t.co/bL5ARjyOmV",,,Twitter for iPhone,True,False,10,11,Planet Earth via west Belfast
1389,934568173524922370,lord_haw,False,342,2017-11-25 23:43:10,RT @DVATW: I don’t WANT a deal with this mob. WALK AWAY. https://t.co/JQ898g1K71,,,Twitter for iPhone,False,False,0,193,
1417,934568094642704385,Alba40,False,360,2017-11-25 23:42:51,RT @NickStevenson63: @BrexitBin @ORourkeGerry This is just the tip of the iceberg as far as UK based motorsport is concerned. 50k jobs in F…,,,Twitter for Android,False,False,0,43,spain 
1419,934568092272857088,Bob261048,False,959,2017-11-25 23:42:51,"RT @RedHotSquirrel: The stench of betrayal...  Leaked papers reveal transitional deal conditional on accepting new EU rules.

https://t.co/…",,,Twitter for Android,False,False,0,395,
1420,934568091782209536,upsadaisy3,False,1200,2017-11-25 23:42:51,RT @Harryslaststand: The simple truth is if you handled your responsibilities at work with the same arrogant incompetence as Theresa May ha…,,,Twitter for Android,False,False,0,405,
1424,934568087889817606,BJ_Gardener,False,1955,2017-11-25 23:42:50,RT @JCHannah77: It is a huge fallacy that the anti-Brexit movement needs a leader. All movements work best when they are led by shared purp…,,,Twitter for iPhone,False,False,0,1,
1435,934568060538753029,gawdyhall,False,464,2017-11-25 23:42:43,RT @BarryGardiner: Actually I think I just pointed out that the cost of a no deal Brexit would add £260 to household bills and lose £50bill…,,,Twitter for iPhone,True,False,0,209,
1437,934568055950233600,KitOfNowhere,False,598,2017-11-25 23:42:42,I think that @EmilyThornberry needs to understand that #Brexit is no longer the will of the people and maybe check… https://t.co/kfuuvMtCbp,,,Twitter Web Client,True,False,0,1,"London, England"
1452,934568002078564353,RCgothic,False,275,2017-11-25 23:42:29,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter Web Client,False,False,0,709,UK
1453,934567997225750528,kimmi31s,False,432,2017-11-25 23:42:28,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for Android,False,False,0,23,Bedfordshire
1460,934567975964770304,_spdavis,False,504,2017-11-25 23:42:23,"@Telegraph Yeah right... Putin had 17.4m people vote for Brexit, just to weaken Europe for war. 

The guys an utter… https://t.co/V9u1NPrt30",Telegraph,9.341043492902298e+17,Twitter for Android,False,False,1,0,
1463,934567975205687302,BeaumontBee,False,1953,2017-11-25 23:42:23,"RT @alexpiletska: This 1990 book may as well have been written in Brexit Britain. Spoiler alert, it did not work out for Britain the first…",,,Twitter Web Client,False,False,0,4,London & Cambridge
1464,934567974295531522,madeleynotohs2,False,302,2017-11-25 23:42:23,RT @NicholasBatty: High Speed 2 will cost at least £100bn &amp; is destroying jobs and businesses all along the route. Cancel #HS2 and that’s t…,,,Twitter for Android,False,False,0,15,United Kingdom
1485,934567891210563584,LiveEUDebate,False,24506,2017-11-25 23:42:03,RT @_Chris_Mendes: I manned my own street stall for 8 months handing out leaflets and explaining the merits of #Brexit to as many people as…,,,Live EU Debate,True,False,0,14,UK
1492,934567874387234817,shandydann,False,330,2017-11-25 23:41:59,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for Android,False,False,0,541,
1495,934567866824843265,Hilsthepoet,False,90,2017-11-25 23:41:57,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter Web Client,False,False,0,709,"Wales, United Kingdom"
1500,934567856938905601,CaledoniaLad,False,868,2017-11-25 23:41:55,RT @linuspoint: Says the Bigots who accepted bribe money £1.5bn tax payers money to prop up English Tory -  Brexit will bring about a Unite…,,,Twitter Lite,True,False,0,17,Scotland
1514,934567788626300928,real_sometimes,False,55,2017-11-25 23:41:38,@marcuschown We get to add even more money to our debt and get pissed off at the government for underfunding public… https://t.co/FewtMmvFjH,marcuschown,9.343782928488776e+17,Twitter for Android,False,False,0,0,Somewhere out there
1519,934567782162862080,dtmcclelland,False,115,2017-11-25 23:41:37,"RT @thesymbolic: Arlene Foster doesn’t speak for Northern Ireland. She isn’t the first Minister. The people themselves have spoken, and sai…",,,Twitter for iPhone,False,False,0,558,Northern Ireland
1520,934567775611359232,John_Idol,False,579,2017-11-25 23:41:35,RT @guardianweekend: ‘I thought I’d put in a protest vote’: the people who regret voting leave @Dorianlynskey  https://t.co/wi4yPDTQMu,,,Twitter for Android,False,False,0,171,"Oxford, UK"
1536,934567724495396866,LFVCL,True,2261,2017-11-25 23:41:23,"Finally, the reality of Brexit can no longer be avoided https://t.co/SOAMRtexmL",,,Twitter Web Client,False,False,0,0,"Rio de Janeiro, Brazil"
1573,934567623106400257,lepict,False,822,2017-11-25 23:40:59,RT @MrJohnNicolson: The people who regret voting for #BrexitChaos https://t.co/YowddvO3mX,,,Twitter for Android,False,False,0,38,"Scotland, United Kingdom"
1587,934567578630049792,ISINGSUGER2016,False,869,2017-11-25 23:40:48,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for Android,False,False,0,23,
1591,934567569784213505,RealityUK_2016,False,1729,2017-11-25 23:40:46,"RT @FinalSayForAll: Most of the people directly impacted by brexit didnt get a say on their own futures, that is not democratic. We are com…",,,Twitter Web Client,False,False,0,138,London
1593,934567566281932800,Harp3rBoy,False,861,2017-11-25 23:40:45,"RT @AdamFowlerITV: “Labour are in bed with the Tories over Brexit, and I think a lot of people who voted for Corbyn didn’t realise that.” -…",,,Twitter for Android,False,False,0,174,Rosie 💗
1604,934567544450666496,lekispekis,False,27,2017-11-25 23:40:40,RT @Samfr: The best Brexit scenario now is that we spend phenomenal amounts of energy and money to get to slightly worse arrangements than…,,,Twitter for iPad,False,False,0,375,
1605,934567543766843392,screaminkid,False,1632,2017-11-25 23:40:40,RT @BarryGardiner: Actually I think I just pointed out that the cost of a no deal Brexit would add £260 to household bills and lose £50bill…,,,Twitter for Android,True,False,0,209,
1613,934567531611934720,davstir,False,211,2017-11-25 23:40:37,RT @libdemEdRhymist: Dear @DavidDavisMP You must publish the Brexit impact studies immediately as required by Parliament! Thank you.,,,Twitter for Windows,False,False,0,56,"Surrey, UK"
1636,934567463076982784,alexpiletska,False,3646,2017-11-25 23:40:21,"This 1990 book may as well have been written in Brexit Britain. Spoiler alert, it did not work out for Britain the… https://t.co/dnCBqhYLIg",,,Twitter for iPhone,False,False,7,4,United Kingdom
1660,934567376955301888,curiocat13,False,352,2017-11-25 23:40:00,"RT @BremainInSpain: Excellent article by @Otto_English on suppressed public shame.
A very basic principle of human psychology: few people a…",,,Twitter for iPad,False,False,0,119,
1673,934567345569267714,Marty62R,False,588,2017-11-25 23:39:53,RT @ClareGerada: Please. Leaders. @Number10gov @jeremycorbyn Accept #Brexit is a disaster &amp; work to stop it. History will judge you as bein…,,,Twitter Web Client,False,False,0,55,"England, United Kingdom"
1679,934567321833701377,Educated_Change,False,2952,2017-11-25 23:39:47,"Finally, the reality of Brexit can no longer be avoided https://t.co/KXLPRuC8Lp",,,Twitter for Android,False,False,0,0,London and Hove
1680,934567321221386241,SusanChadwick1,False,504,2017-11-25 23:39:47,"RT @RedHotSquirrel: The stench of betrayal...  Leaked papers reveal transitional deal conditional on accepting new EU rules.

https://t.co/…",,,Twitter for iPad,False,False,0,395,manchester
1694,934567284022153216,sinsel_shelba,False,2839,2017-11-25 23:39:38,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for Android,False,False,0,23,"Clarksville, TN"
1697,934567273418895361,onlyconnect71,False,93,2017-11-25 23:39:36,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter for iPad,False,False,0,709,Yorkshire
1699,934567270382227456,WadsworthRachel,False,365,2017-11-25 23:39:35,RT @champagne_lefty: What all people who voted Remain should understand is that   #Brexit was proof that we have underfunded education for…,,,Twitter for iPhone,False,False,0,172,
1702,934567264262807554,ShyRobin1,False,758,2017-11-25 23:39:33,"RT @thesymbolic: Arlene Foster doesn’t speak for Northern Ireland. She isn’t the first Minister. The people themselves have spoken, and sai…",,,Twitter Lite,False,False,0,558,
1709,934567246822768640,662Maz,False,13011,2017-11-25 23:39:29,"RT @cheisback: @662Maz It took just 13 people in Cuba never forget the power of the people 
Its started already it started with 
Brexit
Tru…",,,Twitter Web Client,False,False,0,1,
1717,934567217945104385,davstir,False,211,2017-11-25 23:39:22,RT @Kabir_LDN: @elliot_james91 @marcuschown Brexit has created a whole new group of young people who are now becoming politically active. H…,,,Twitter for Windows,False,False,0,4,"Surrey, UK"
1735,934567184352890881,dolly_ste,False,993,2017-11-25 23:39:14,RT @DVATW: I don’t WANT a deal with this mob. WALK AWAY. https://t.co/JQ898g1K71,,,Twitter for iPhone,False,False,0,193,"Manchester, England"
1737,934567165122023424,HughJaeger,False,2582,2017-11-25 23:39:10,RT @guardianweekend: ‘I thought I’d put in a protest vote’: the people who regret voting leave @Dorianlynskey  https://t.co/wi4yPDTQMu,,,Twitter Web Client,False,False,0,171,Oxford
1753,934567106070401024,Artemitzi,False,1081,2017-11-25 23:38:56,"RT @AgentAvalon: @carolecadwalla So we have leave EU &amp; vote leave under investigation, apparent Russian interference in the Brexit campaign…",,,Twitter Web Client,False,False,0,18,UK
1759,934567097933484038,MarcusAgrippa4,False,2260,2017-11-25 23:38:54,"The #EU subsidies, the money from Brussels €€€€€€€€€€€, propping up the Irish economy? Is that what you are trying… https://t.co/ePyqTmt9uS",,,TweetDeck,True,False,0,0,
1768,934567063552655360,Pcf4,False,170,2017-11-25 23:38:46,@montie If Brexit is gonna lead us into the promised land why are Brexiteers so frightened of people scrutinising i… https://t.co/qbbVZygsI8,montie,9.34379018413015e+17,Twitter for iPhone,False,False,0,0,here!!!
1774,934567055084457991,Maxxiimmu,False,83,2017-11-25 23:38:44,"RT @bulshdetector: Was the whole brexit blue print written in the HQs of foreign media tycoons? If so, the British people have been had on…",,,Twitter for Android,False,False,0,9,
1782,934567019638345728,PaulMer45790900,False,680,2017-11-25 23:38:35,RT @carole99897: BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter for Android,False,False,0,23,"Wales, United Kingdom"
1809,934566958602866688,s9tmt,False,4307,2017-11-25 23:38:21,RT @ClareGerada: Please. Leaders. @Number10gov @jeremycorbyn Accept #Brexit is a disaster &amp; work to stop it. History will judge you as bein…,,,Twitter for iPad,False,False,0,55,manchester
1820,934566935479627778,patriciatibbels,False,59,2017-11-25 23:38:15,"RT @spaceangel1964: Please help this project to collect real stories of the emerging impact of ""UK Brexit"" on businesses.
Add any you know…",,,Twitter for iPhone,False,False,0,541,Luxembourg
1821,934566929888567296,ashman06,False,1078,2017-11-25 23:38:14,‘I thought I’d put in a protest vote’: the people who regret voting leave | Politics | The Guardian https://t.co/7Iim4PPEXh #SmartNews,,,SmartNews | スマートニュース,False,False,0,0,UK 
1861,934566798904758273,JaneEJuanita,False,789,2017-11-25 23:37:42,@Scientists4EU @JavlaStu Nice work #Brexit 😡,Scientists4EU,9.345505999742484e+17,Twitter for iPhone,False,False,1,0,"England, United Kingdom"
1868,934566756659744768,darbyjgallagher,False,419,2017-11-25 23:37:32,‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/kbBrtrwSB6,,,Twitter Web Client,False,False,0,0,London
1882,934566716004356096,SponPlague,False,200,2017-11-25 23:37:23,RT @smilinglaura: I think we should tweet @DavidDavisMP EVERY DAY asking about the 58 Brexit impact studies to be released until he respond…,,,Twitter Web Client,True,False,0,247,United Kingdom
1888,934566703241064448,Sheppard250,False,1170,2017-11-25 23:37:20,@SJ_Powell @MichaelH14 @benjaminbaccas @ll_ralph Not exacting #ProjectFear no more cause Brexit reality is beginnin… https://t.co/hr7U4Y7blh,SJ_Powell,9.345658449102111e+17,Twitter Web Client,False,False,2,0,
1891,934566692243558400,Jayoberoi2,False,504,2017-11-25 23:37:17,RT @NickStevenson63: @BrexitBin @ORourkeGerry This is just the tip of the iceberg as far as UK based motorsport is concerned. 50k jobs in F…,,,Twitter for iPhone,False,False,0,43,"Winscombe, England"
1896,934566675676106752,24GTL,False,3,2017-11-25 23:37:13,So just how did Russian money &amp; bots influence Brexit voters concerned by their personal experiences of the immigra… https://t.co/evJMADird5,,,Twitter Lite,False,False,0,0,England
1909,934566645858754560,JamesTheo,False,9374,2017-11-25 23:37:06,RT @Samfr: I wonder if there's a reason why it's so hard to find people who really understand how Govt works and also back Brexit? https://…,,,Twitter for iPhone,True,False,0,364,"Hampshire, UK"
1918,934566619774406657,carole99897,False,9858,2017-11-25 23:37:00,BREXIT FURY: Leaked papers reveal transitional deal CONDITIONAL on accepting NEW EU rules https://t.co/yKyuiJSca2,,,Twitter Web Client,False,False,12,23,England
1925,934566595564892160,enddjinn,False,85,2017-11-25 23:36:54,RT @libdemEdRhymist: Dear @DavidDavisMP You must publish the Brexit impact studies immediately as required by Parliament! Thank you.,,,Twitter for iPhone,False,False,0,56,
1937,934566581157236736,Regrettedzulu,False,528,2017-11-25 23:36:51,‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/pDNBufdup8,,,Twitter for iPhone,False,False,0,0,"melbourne, australia"
1953,934566541613551616,RealityUK_2016,False,1729,2017-11-25 23:36:41,"RT @BrexitBin: Is the UK a broken society?
- Yes.
Did frustration cause many people to vote Brexit?
- Yes.
Will Brexit solve the problems?…",,,Twitter Web Client,False,False,0,709,London
1960,934566524618190849,MorpheusNI,False,1180,2017-11-25 23:36:37,@SocialistVoice With absolutely no authority to do so on behalf of the people of NI who voted against Brexit. Incompetence personified,SocialistVoice,9.345176816126403e+17,Twitter for Android,False,False,10,0,
1969,934566494230396928,hummeengbird,False,169,2017-11-25 23:36:30,RT @Stop_The_EU: Tony Blair wants a solution that meets the concerns of the people &amp; finds a better way forward to reverse a democratic man…,,,Twitter Lite,False,False,0,162,Utah
1976,934566471790981122,SempaiScuba,False,1286,2017-11-25 23:36:24,RT @SavLocal: ‘I thought I’d put in a protest vote’: the people who regret voting leave | Politics | The Guardian https://t.co/jOySrfc6n8,,,Twitter Web Client,False,False,0,3,London
1990,934566437175353344,JayCobalt61,False,85,2017-11-25 23:36:16,RT @ChukaUmunna: ‘I thought I’d put in a protest vote’: the people who regret voting leave https://t.co/t1NWI8bI5D,,,Twitter Lite,False,False,0,228,Ireland
