tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931884647776219136,HowieC63,1414,2017-11-18 13:59:48,"RT @jurygroup: Has the UK done much of ""the running"" with #Brexit? @DavidDavisMP @MichelBarnier @eucopresident @theresa_may 

RETWEET &amp; VOT…",Twitter for iPhone,0,40,Wirral
931884633687552002,ucf_seber,94,2017-11-18 13:59:44,"The result of #Brexit, leave #EU, is an unhappy and incontent in itself- broken #UK. Watch this space.",Twitter for Android,0,0,London
931884615375126528,disasterhistory,857,2017-11-18 13:59:40,did he mention anything he DID understand about #Brexit? https://t.co/BZKJJIbcF1,Twitter Web Client,0,1,London
931884585176240133,BremainInSpain,3717,2017-11-18 13:59:33,RT @Glensailing: Good to know that Ireland can put a pole in the spokes of #Brexit. Rightly so too! Lets hear reasons from more of the EU27…,Twitter Lite,0,5,Spain
931884566532550656,MaryRic44976686,42,2017-11-18 13:59:28,RT @Doozy_45: BREXIT ROUND-UP: Pharmaceutical firms trigger contingency plans for a no-deal Brexit / #Brexit #Science #NHS https://t.co/sME…,Twitter Lite,0,21,London UK
931884556264886274,gogwellpab,44,2017-11-18 13:59:26,RT @Doozy_45: BREXIT ROUND-UP: Pharmaceutical firms trigger contingency plans for a no-deal Brexit / #Brexit #Science #NHS https://t.co/sME…,Twitter for iPad,0,21,
931884553907638272,PeterBa82304711,608,2017-11-18 13:59:25,"@Alexicon83 Heseltine, who has the worst record of attending the House of Lords (&amp; could be removed) is no longer a… https://t.co/aW9CYl4b3l",Twitter for Windows,0,0,"Reading, UK"
931884532835463170,mark_rudhall,681,2017-11-18 13:59:20,"RT @nickreeves9876: David Davis wants free movement for Bankers and Lawyers, but not for ordinary people. 
#Brexit - restoring privilege fo…",Twitter for Android,0,263, UK
931884522483970048,AndrewRalphPC,1680,2017-11-18 13:59:18,"RT @nicktolhurst: TThe language from the Sun here today on the Irish Govt &amp; Ireland is utterly indefensible, especially as its on #Brexit p…",Twitter for Android,0,39,"Meath, Dublin & the World!"
931884509712322560,Simulacrumbs,590,2017-11-18 13:59:15,The older generations had a phrase for this: 'Common Sense will Prevail' The #brexit idiots can deny the existence… https://t.co/QvxeonMa64,Twitter Web Client,0,0,UK
931884497234202624,WaftyChizler,3,2017-11-18 13:59:12,"@krishgm The more you shout, the less people listen. Most of the arguments over #Trump and #Brexit are increasingly… https://t.co/a5dIE0NIxx",Twitter for Android,0,0,
931884484831703040,fish_in_a_hat,7065,2017-11-18 13:59:09,@thatginamiller It is gaslighting from an organised group to try to keep people thinking that we have to go ahead w… https://t.co/5ukVqKVPXE,Twitter Web Client,8,6,Near one of those walls.......
931884477319610368,ucf_seber,94,2017-11-18 13:59:07,"My observation goes- those that voted #Brexit, leave #EU don't look sound excited &amp; happy after a day of the vote. Expectations?",Twitter for Android,0,0,London
